capture,ordinal,counter,field,previous_picture_top_line,picture_top_line,previous_switch_first_line,switch_first_line,dp,ds,previous_status,status,raw_rows
w_2100s,202,2112,2,288,288,522,523,0,1,censored,censored,L288=153.077/22.057 L522=126.783/82.637 L523=11.647/0.864 L525=11.092/0.663 L526=1.375/0.503 L527=16.000/0.000
w_2100s,203,2113,1,24,24,260,260,0,0,censored,censored,L24=112.067/14.367 L259=125.606/82.616 L260=20.794/23.473 L262=10.769/0.748 L263=1.367/0.488
w_2100s,203,2113,2,288,288,523,523,0,0,censored,censored,L288=151.397/22.379 L522=125.986/82.112 L523=10.775/0.885 L525=10.497/0.689 L526=1.375/0.503 L527=16.000/0.000
w_2100s,204,2114,1,24,25,260,261,1,1,censored,censored,L25=112.200/14.491 L260=126.161/82.592 L261=19.930/21.203 L262=10.866/0.922 L263=1.387/0.500 L264=1.370/0.483
w_2100s,204,2114,2,288,288,523,523,0,0,censored,censored,L288=152.827/22.002 L522=126.963/82.224 L523=10.864/0.834 L525=10.556/0.700 L526=1.383/0.505 L527=16.000/0.000
w_2100s,205,2115,1,25,25,261,261,0,0,censored,censored,L25=113.033/13.965 L260=127.209/82.485 L261=17.459/13.396 L262=10.452/0.845 L263=1.383/0.492 L264=1.375/0.484
w_2100s,205,2115,2,288,288,523,523,0,0,censored,censored,L288=152.539/23.065 L522=127.675/82.411 L523=10.891/0.872 L525=10.692/0.746 L526=1.400/0.509 L527=16.000/0.000
w_2100s,206,2116,1,25,25,261,261,0,0,censored,censored,L25=114.014/14.093 L260=126.961/82.161 L261=20.705/24.145 L262=10.723/0.879 L263=1.373/0.487 L264=1.367/0.482
w_2100s,206,2116,2,288,288,523,522,0,-1,censored,censored,L288=154.748/22.990 L521=127.234/82.688 L522=127.203/83.083 L525=10.744/0.716 L526=1.383/0.517 L527=16.000/0.000
w_2100s,207,2117,1,25,25,261,261,0,0,censored,censored,L25=113.984/14.000 L260=128.041/82.392 L261=17.028/11.137 L262=11.398/0.849 L263=1.369/0.486 L264=1.363/0.481
